Episode,Reward,Pre,True,Probabilities,Steps
366.0,157.0,1.0,1.0,0.6664533019065857,10.0
367.0,187.0,1.0,1.0,0.5400509834289551,10.0
368.0,166.0,1.0,1.0,0.5925750732421875,11.0
369.0,200.0,1.0,0.0,0.563670814037323,11.0
370.0,155.0,1.0,1.0,0.531196117401123,11.0
371.0,200.0,1.0,0.0,0.6408103704452515,10.0
372.0,200.0,0.0,0.0,0.0012803315185010433,200.0
373.0,200.0,0.0,0.0,0.0014203806640580297,200.0
374.0,200.0,0.0,0.0,0.4913645386695862,200.0
375.0,147.0,1.0,1.0,0.6189263463020325,10.0
376.0,200.0,0.0,0.0,0.2507098317146301,200.0
377.0,167.0,1.0,1.0,0.6162515878677368,10.0
378.0,200.0,0.0,0.0,0.004177948925644159,200.0
379.0,197.0,1.0,1.0,0.5176348686218262,8.0
380.0,178.0,1.0,1.0,0.5242586135864258,11.0
381.0,200.0,0.0,0.0,0.001307727419771254,200.0
382.0,144.0,1.0,1.0,0.6179765462875366,10.0
383.0,200.0,0.0,0.0,0.023921409621834755,200.0
384.0,200.0,0.0,0.0,0.001364917610771954,200.0
385.0,200.0,0.0,0.0,0.013421768322587013,200.0
386.0,200.0,0.0,0.0,0.05485223978757858,200.0
387.0,200.0,0.0,0.0,0.0014714936260133982,200.0
388.0,142.0,1.0,1.0,0.5822298526763916,11.0
389.0,200.0,0.0,0.0,0.4529145658016205,200.0
390.0,200.0,1.0,0.0,0.526780366897583,6.0
391.0,200.0,0.0,0.0,0.0014245999045670033,200.0
392.0,161.0,1.0,1.0,0.5746012926101685,9.0
393.0,200.0,0.0,0.0,0.0016336350236088037,200.0
394.0,200.0,1.0,0.0,0.506100594997406,6.0
395.0,188.0,1.0,1.0,0.5923302173614502,7.0
396.0,200.0,1.0,0.0,0.5540705919265747,8.0
397.0,200.0,0.0,0.0,0.026196056976914406,200.0
398.0,200.0,0.0,0.0,0.0025132345035672188,200.0
399.0,195.0,1.0,1.0,0.5781369209289551,11.0
400.0,186.0,1.0,1.0,0.5621795058250427,9.0
401.0,189.0,1.0,1.0,0.6571362018585205,10.0
402.0,171.0,1.0,1.0,0.5692534446716309,11.0
403.0,200.0,1.0,0.0,0.5359206199645996,5.0
404.0,153.0,1.0,1.0,0.5785806179046631,11.0
405.0,200.0,0.0,0.0,0.0015680351061746478,200.0
406.0,188.0,1.0,1.0,0.5634759664535522,9.0
407.0,188.0,1.0,1.0,0.5802614092826843,8.0
408.0,198.0,1.0,1.0,0.5767038464546204,8.0
409.0,169.0,1.0,1.0,0.5458222031593323,11.0
410.0,191.0,1.0,1.0,0.5773894786834717,10.0
411.0,137.0,1.0,1.0,0.5502360463142395,10.0
412.0,143.0,1.0,1.0,0.5442079305648804,12.0
413.0,200.0,0.0,0.0,0.0015680351061746478,200.0
414.0,200.0,0.0,0.0,0.018756160512566566,200.0
415.0,192.0,1.0,1.0,0.5391950607299805,8.0
416.0,171.0,1.0,1.0,0.6428599953651428,10.0
417.0,200.0,0.0,0.0,0.0067585003562271595,200.0
418.0,179.0,1.0,1.0,0.5168542265892029,12.0
419.0,149.0,1.0,1.0,0.5136712789535522,11.0
420.0,200.0,1.0,0.0,0.5596166849136353,1.0
421.0,161.0,1.0,1.0,0.5586175918579102,10.0
422.0,200.0,0.0,0.0,0.001453347853384912,200.0
423.0,200.0,0.0,0.0,0.0013679320691153407,200.0
424.0,187.0,1.0,1.0,0.5485777258872986,12.0
425.0,173.0,1.0,1.0,0.5237831473350525,11.0
426.0,200.0,1.0,0.0,0.5359206199645996,5.0
427.0,200.0,0.0,0.0,0.0015710508450865746,200.0
428.0,200.0,0.0,0.0,0.005241673439741135,200.0
429.0,200.0,0.0,0.0,0.003100181696936488,200.0
430.0,200.0,0.0,0.0,0.03768039494752884,200.0
431.0,200.0,0.0,0.0,0.005148516036570072,200.0
432.0,196.0,1.0,1.0,0.5844042897224426,10.0
433.0,200.0,0.0,0.0,0.009948968887329102,200.0
434.0,200.0,1.0,0.0,0.5350349545478821,6.0
435.0,200.0,0.0,0.0,0.0013927184045314789,200.0
436.0,187.0,1.0,1.0,0.6723365187644958,11.0
437.0,200.0,1.0,0.0,0.5596166849136353,1.0
438.0,200.0,0.0,0.0,0.002074533374980092,200.0
439.0,139.0,1.0,1.0,0.5772327184677124,10.0
440.0,200.0,0.0,0.0,0.2570060193538666,200.0
441.0,173.0,1.0,1.0,0.6054244041442871,9.0
442.0,200.0,0.0,0.0,0.0016331513179466128,200.0
443.0,200.0,0.0,0.0,0.01063851360231638,200.0
444.0,168.0,1.0,1.0,0.5394810438156128,10.0
445.0,200.0,0.0,0.0,0.002375591080635786,200.0
446.0,200.0,0.0,0.0,0.001490604248829186,200.0
447.0,166.0,1.0,1.0,0.5925750732421875,11.0
448.0,189.0,1.0,1.0,0.5930282473564148,10.0
449.0,198.0,1.0,1.0,0.5650249719619751,8.0
450.0,200.0,0.0,0.0,0.025673791766166687,200.0
451.0,200.0,0.0,0.0,0.0013927184045314789,200.0
452.0,174.0,1.0,1.0,0.5932154655456543,10.0
453.0,200.0,0.0,0.0,0.005945480428636074,200.0
454.0,188.0,1.0,1.0,0.6050093173980713,9.0
455.0,200.0,0.0,0.0,0.07003786414861679,200.0
456.0,200.0,0.0,0.0,0.0012803315185010433,200.0
457.0,200.0,0.0,0.0,0.0020181089639663696,200.0
458.0,200.0,0.0,0.0,0.4214160740375519,200.0
459.0,200.0,0.0,0.0,0.002074533374980092,200.0
460.0,200.0,0.0,0.0,0.1554710566997528,200.0
461.0,200.0,0.0,0.0,0.0013516086619347334,200.0
462.0,200.0,0.0,0.0,0.01746794953942299,200.0
463.0,189.0,1.0,1.0,0.5856559872627258,10.0
